run_key,run_label,step,action_type,total_state_changes,change_details,room_cleanliness,room_temperature,food_freshness,resident_activity_mood,plant_vitality,open_close_or_scan,holding_and_carry,object_state_misc
before_refactor,Before Refactor,1,scan,19,entrance:temperature(23.98->23.96) | entrance:cleanliness(0.9596->0.9592) | living_room:temperature(23.98->23.96) | living_room:cleanliness(0.9596->0.9592) | living_room:scanned(None->True) | kitchen:temperature(23.98->23.96) | kitchen:cleanliness(0.9596->0.9592) | bedroom:temperature(23.98->23.96) | bedroom:cleanliness(0.9596->0.9592) | bathroom:temperature(23.98->23.96) | bathroom:cleanliness(0.9596->0.9592) | balcony:temperature(23.98->23.96) | balcony:cleanliness(0.9596->0.9592) | milk_fridge_kitchen:freshness(0.99->0.98) | juice_fridge_kitchen:freshness(0.99->0.98) | vegetables_fridge_kitchen:freshness(0.99->0.98) | plant_balcony:vitality(0.905->0.89) | human_resident:mood(0.9994->0.9988) | robot_01:mood(0.9994->0.9988),6,6,3,2,1,1,0,0
before_refactor,Before Refactor,2,move,22,entrance:temperature(23.96->23.94) | entrance:cleanliness(0.9592->0.9588) | living_room:temperature(23.96->23.94) | living_room:cleanliness(0.9592->0.9588) | kitchen:temperature(23.96->23.94) | kitchen:cleanliness(0.9592->0.9588) | bedroom:temperature(23.96->23.94) | bedroom:cleanliness(0.9592->0.9588) | bathroom:temperature(23.96->23.94) | bathroom:cleanliness(0.9592->0.9588) | balcony:temperature(23.96->23.94) | balcony:cleanliness(0.9592->0.9588) | milk_fridge_kitchen:freshness(0.98->0.97) | juice_fridge_kitchen:freshness(0.98->0.97) | vegetables_fridge_kitchen:freshness(0.98->0.97) | plant_balcony:vitality(0.89->0.875) | human_resident:_scheduled_phase(waking_up->getting_dressed) | human_resident:_phase_name(waking_up->getting_dressed) | human_resident:current_activity(waking_up->getting_dressed) | human_resident:mood(0.9988->0.9982),6,6,3,6,1,0,0,0
before_refactor,Before Refactor,3,move,21,"entrance:temperature(23.94->23.92) | entrance:cleanliness(0.9588->0.9584) | living_room:temperature(23.94->23.92) | living_room:cleanliness(0.9588->0.9584) | kitchen:temperature(23.94->23.92) | kitchen:cleanliness(0.9588->0.9584) | bedroom:temperature(23.94->23.92) | bedroom:cleanliness(0.9588->0.9584) | bathroom:temperature(23.94->23.92) | bathroom:cleanliness(0.9588->0.9584) | balcony:temperature(23.94->23.92) | balcony:cleanliness(0.9588->0.9584) | milk_fridge_kitchen:freshness(0.97->0.96) | juice_fridge_kitchen:freshness(0.97->0.96) | vegetables_fridge_kitchen:freshness(0.97->0.96) | wardrobe_bedroom:is_open(False->True) | wardrobe_bedroom:isOpen(None->True) | plant_balcony:vitality(0.875->0.86) | human_resident:mood(0.9982->0.9976) | human_resident:_phase_queue([{'kind': 'open', 'target': 'wardrobe_bedroom'}, {'kind': 'wear', 'object': 'clothes_bedroom_1'}, {'kind': 'close', 'target': 'wardrobe_bedroom'}]->[{'kind': 'wear', 'object': 'clothes_bedroom_1'}, {'kind': 'close', 'target': 'wardrobe_bedroom'}])",6,6,3,3,1,2,0,0
before_refactor,Before Refactor,4,move,19,"entrance:temperature(23.92->23.9) | entrance:cleanliness(0.9584->0.958) | living_room:temperature(23.92->23.9) | living_room:cleanliness(0.9584->0.958) | kitchen:temperature(23.92->23.9) | kitchen:cleanliness(0.9584->0.958) | bedroom:temperature(23.92->23.9) | bedroom:cleanliness(0.9584->0.958) | bathroom:temperature(23.92->23.9) | bathroom:cleanliness(0.9584->0.958) | balcony:temperature(23.92->23.9) | balcony:cleanliness(0.9584->0.958) | milk_fridge_kitchen:freshness(0.96->0.95) | juice_fridge_kitchen:freshness(0.96->0.95) | vegetables_fridge_kitchen:freshness(0.96->0.95) | plant_balcony:vitality(0.86->0.845) | human_resident:mood(0.9976->0.997) | human_resident:_phase_queue([{'kind': 'wear', 'object': 'clothes_bedroom_1'}, {'kind': 'close', 'target': 'wardrobe_bedroom'}]->[{'kind': 'close', 'target': 'wardrobe_bedroom'}]) | robot_01:mood(0.9976->0.997)",6,6,3,3,1,0,0,0
before_refactor,Before Refactor,5,move,23,entrance:temperature(23.9->23.88) | entrance:cleanliness(0.958->0.9576) | living_room:temperature(23.9->23.88) | living_room:cleanliness(0.958->0.9576) | kitchen:temperature(23.9->23.88) | kitchen:cleanliness(0.958->0.9576) | bedroom:temperature(23.9->23.88) | bedroom:cleanliness(0.958->0.9576) | bathroom:temperature(23.9->23.88) | bathroom:cleanliness(0.958->0.9576) | balcony:temperature(23.9->23.88) | balcony:cleanliness(0.958->0.9576) | milk_fridge_kitchen:freshness(0.95->0.94) | juice_fridge_kitchen:freshness(0.95->0.94) | vegetables_fridge_kitchen:freshness(0.95->0.94) | wardrobe_bedroom:is_open(True->False) | wardrobe_bedroom:isOpen(True->False) | plant_balcony:vitality(0.845->0.83) | human_resident:_scheduled_phase(getting_dressed->washing_up_morning) | human_resident:mood(0.997->0.9964),6,6,3,5,1,2,0,0
before_refactor,Before Refactor,6,move,24,entrance:temperature(23.88->23.87) | entrance:cleanliness(0.9576->0.9572) | living_room:temperature(23.88->23.87) | living_room:cleanliness(0.9576->0.9572) | kitchen:temperature(23.88->23.87) | kitchen:cleanliness(0.9576->0.9572) | bedroom:temperature(23.88->23.87) | bedroom:cleanliness(0.9576->0.9572) | bathroom:temperature(23.88->23.87) | bathroom:cleanliness(0.9576->0.9572) | balcony:temperature(23.88->23.87) | balcony:cleanliness(0.9576->0.9572) | milk_fridge_kitchen:freshness(0.94->0.93) | juice_fridge_kitchen:freshness(0.94->0.93) | vegetables_fridge_kitchen:freshness(0.94->0.93) | plant_balcony:vitality(0.83->0.815) | door_bedroom:isOpen(None->True) | door_bedroom:is_open(False->True) | human_resident:_phase_name(getting_dressed->washing_up_morning) | human_resident:current_activity(getting_dressed->washing_up_morning),6,6,3,6,1,2,0,0
before_refactor,Before Refactor,7,push,22,entrance:temperature(23.87->23.86) | entrance:cleanliness(0.9572->0.9568) | living_room:temperature(23.87->23.86) | living_room:cleanliness(0.9572->0.9568) | kitchen:temperature(23.87->23.86) | kitchen:cleanliness(0.9572->0.9568) | bedroom:temperature(23.87->23.86) | bedroom:cleanliness(0.9572->0.9568) | bathroom:temperature(23.87->23.86) | bathroom:cleanliness(0.9572->0.9568) | balcony:temperature(23.87->23.86) | balcony:cleanliness(0.9572->0.9568) | milk_fridge_kitchen:freshness(0.93->0.92) | juice_fridge_kitchen:freshness(0.93->0.92) | vegetables_fridge_kitchen:freshness(0.93->0.92) | plant_balcony:vitality(0.815->0.8) | door_bedroom:is_open(True->False) | door_bedroom:pushed(None->True) | door_bathroom:isOpen(None->True) | door_bathroom:is_open(False->True),6,6,3,2,1,4,0,0
before_refactor,Before Refactor,8,move,20,entrance:temperature(23.86->23.85) | entrance:cleanliness(0.9568->0.9564) | living_room:temperature(23.86->23.85) | living_room:cleanliness(0.9568->0.9564) | kitchen:temperature(23.86->23.85) | kitchen:cleanliness(0.9568->0.9564) | bedroom:temperature(23.86->23.85) | bedroom:cleanliness(0.9568->0.9564) | bathroom:temperature(23.86->23.85) | bathroom:cleanliness(0.9568->0.9564) | balcony:temperature(23.86->23.85) | balcony:cleanliness(0.9568->0.9564) | milk_fridge_kitchen:freshness(0.92->0.91) | juice_fridge_kitchen:freshness(0.92->0.91) | vegetables_fridge_kitchen:freshness(0.92->0.91) | plant_balcony:vitality(0.8->0.785) | human_resident:_scheduled_phase(washing_up_morning->breakfast) | human_resident:mood(0.9952->0.9946) | human_resident:_phase_backlog([]->['breakfast']) | robot_01:mood(0.9952->0.9946),6,6,3,4,1,0,0,0
before_refactor,Before Refactor,9,scan,19,"entrance:temperature(23.85->23.84) | entrance:cleanliness(0.9564->0.956) | living_room:temperature(23.85->23.84) | living_room:cleanliness(0.9564->0.956) | kitchen:temperature(23.85->23.84) | kitchen:cleanliness(0.9564->0.956) | bedroom:temperature(23.85->23.84) | bedroom:cleanliness(0.9564->0.956) | bathroom:temperature(23.85->23.84) | bathroom:cleanliness(0.9564->0.956) | balcony:temperature(23.85->23.84) | balcony:cleanliness(0.9564->0.956) | milk_fridge_kitchen:freshness(0.91->0.9) | juice_fridge_kitchen:freshness(0.91->0.9) | vegetables_fridge_kitchen:freshness(0.91->0.9) | plant_balcony:vitality(0.785->0.77) | human_resident:mood(0.9946->0.994) | human_resident:_phase_queue([{'kind': 'move_to', 'parent': 'sink_bathroom', 'room': 'bathroom'}, {'kind': 'press', 'target': 'faucet_bathroom', 'is_on': True}, {'kind': 'wash_up'}, {'kind': 'press', 'target': 'faucet_bathroom', 'is_on': False}, {'kind': 'move_to', 'parent': 'bathroom', 'room': 'bathroom'}]->[{'kind': 'press', 'target': 'faucet_bathroom', 'is_on': True}, {'kind': 'wash_up'}, {'kind': 'press', 'target': 'faucet_bathroom', 'is_on': False}, {'kind': 'move_to', 'parent': 'bathroom', 'room': 'bathroom'}]) | robot_01:mood(0.9946->0.994)",6,6,3,3,1,0,0,0
before_refactor,Before Refactor,10,scan,24,entrance:temperature(23.84->23.83) | entrance:cleanliness(0.956->0.9556) | living_room:temperature(23.84->23.83) | living_room:cleanliness(0.956->0.9556) | kitchen:temperature(23.84->23.83) | kitchen:cleanliness(0.956->0.9556) | bedroom:temperature(23.84->23.83) | bedroom:cleanliness(0.956->0.9556) | bathroom:temperature(23.84->23.83) | bathroom:cleanliness(0.956->0.9556) | balcony:temperature(23.84->23.83) | balcony:cleanliness(0.956->0.9556) | milk_fridge_kitchen:freshness(0.9->0.89) | juice_fridge_kitchen:freshness(0.9->0.89) | vegetables_fridge_kitchen:freshness(0.9->0.89) | sink_bathroom:fill_level(0.0->0.25) | faucet_bathroom:is_on(False->True) | faucet_bathroom:is_pressed(None->True) | plant_balcony:vitality(0.77->0.755) | cup_bathroom:is_dry(True->False),6,6,3,3,1,0,0,5
